main_category,title,average_rating,rating_number,features,description,price,images,videos,store,categories,details,parent_asin,bought_together,subtitle,author
Books,25,4.7,26079,"['""25"" is the highly anticipated new album from Adele, and is her first new music since her Oscar winning single ""Skyfall"" in 2012. ""Hello"" is the debut single from ""25."" The cinematic video for ""Hello"" was shot in the countryside surrounding Montreal and is directed by the celebrated young Canadian director Xavier Dolan (Mommy, Tom at the Farm).']",[],,"[{'large': 'https://m.media-amazon.com/images/I/51yGCNhmUHL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg', 'variant': 'MAIN'}]",[],Adele (Artist),"['CDs & Vinyl', 'Pop']","{'Publisher': 'Columbia Records Group (January 1, 2015)', 'Language': 'English', 'Item Weight': '3.36 ounces', 'Dimensions': '5.62 x 4.97 x 0.43 inches'}",B016WW10SA,,"Audio CD – CD, January 1, 2015","{'avatar': 'https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png', 'name': 'Adele', 'about': ['Discover more of the author’s books, see similar authors, read author blogs and more']}"
Digital Music,25,4.7,26070,[],"['The third studio album from worldwide phenomenon, ADELE. Available as single CD and single vinyl LP. Released in 2015, 25 went on to win six GRAMMY Awards – including Album of the Year and Best Pop Vocal Album. With over 30 million global sales to date 25 is one of the century’s biggest selling albums. Vol Side Track Artist Title 1 1 1 Adele Hello 1 1 2 Adele Send My Love (To Your New Lover) 1 1 3 Adele I Miss You 1 1 4 Adele When We Were Young 1 1 5 Adele Remedy 1 2 1 Adele Water Under the Bridge 1 2 2 Adele River Lea 1 2 3 Adele Love In The Dark 1 2 4 Adele Million Years Ago 1 2 5 Adele All I Ask 1 2 6 Adele Sweetest Devotion']",22.09,"[{'thumb': 'https://m.media-amazon.com/images/I/41nML+7FqZL._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41nML+7FqZL.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/715b8zuLvXL._SL1500_.jpg'}]","[{'title': 'Are you serious ?', 'url': 'https://www.amazon.com/vdp/c559926cbe9a40cb86297c237686ccfe?ref=dp_vse_rvc_0', 'user_id': 'AEZFPJH5HWZEU67JVU35TWSR5YOA'}]",Adele   Format: Vinyl,"['CDs & Vinyl', 'Pop']","{'Product Dimensions': '12.32 x 12.36 x 0.31 inches; 8.32 Ounces', 'Manufacturer': 'XL Recordings', 'Original Release Date': '2020', 'Date First Available': 'December 1, 2020', 'Label': 'XL Recordings', 'Country of Origin': 'USA', 'Number of discs': '1'}",B08P8QKG92,,,
Digital Music,25,4.7,26064,[],"['Smash 2015 album from the chart-topping UK songstress ... her first in 4 years! Includes songs co-written with Greg Kurstin (The Bird & The Bee), Tobias Jesso Jr and Bruno Mars. Features ""Hello"". Does NOT include a download coee.']",29.62,"[{'thumb': 'https://m.media-amazon.com/images/I/51ILepzHJoL._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51ILepzHJoL.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/71VcJXBDgEL._SL1200_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51FbZN4CQwL._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51FbZN4CQwL.jpg', 'variant': 'BACK', 'hi_res': 'https://m.media-amazon.com/images/I/91q0HrO5P2L._SL1500_.jpg'}]",[],Adele   Format: Vinyl,"['CDs & Vinyl', 'Rock', 'Power Pop']","{'Is Discontinued By Manufacturer': 'No', 'Language': 'English', 'Product Dimensions': '12.36 x 12.36 x 0.31 inches; 8.32 Ounces', 'Manufacturer': 'IMPORTS', 'Date First Available': 'November 20, 2015', 'Label': 'IMPORTS', 'Number of discs': '1'}",B0170C28BE,,,
Digital Music,25,4.7,26035,[],"['The third studio album from worldwide phenomenon, ADELE. Available as single CD and single vinyl LP. Released in 2015, 25 went on to win six GRAMMY Awards – including Album of the Year and Best Pop Vocal Album. With over 30 million global sales to date 25 is one of the century’s biggest selling albums. Track Artist Title 1 Adele Hello 2 Adele Send My Love (To Your New Lover) 3 Adele I Miss You 4 Adele When We Were Young 5 Adele Remedy 6 Adele Water Under the Bridge 7 Adele River Lea 8 Adele Love In The Dark 9 Adele Million Years Ago 10 Adele All I Ask 11 Adele Sweetest Devotion']",10.99,"[{'thumb': 'https://m.media-amazon.com/images/I/41nML+7FqZL._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41nML+7FqZL.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/715b8zuLvXL._SL1500_.jpg'}]",[],Adele   Format: Audio CD,"['CDs & Vinyl', 'Pop']","{'Product Dimensions': '5.55 x 4.92 x 0.47 inches; 3.25 Ounces', 'Manufacturer': 'XL Recordings', 'Original Release Date': '2020', 'Date First Available': 'December 1, 2020', 'Label': 'XL Recordings', 'Country of Origin': 'USA', 'Number of discs': '1'}",B08P87XTFG,,,
Digital Music,25: Japanese Edition,4.7,26023,[],"['JAPANESE EDITION : Contains 3 BONUS tracks ""Can\'t Let Go"", ""Lay Me Down"" and ""Why Do You Love Me"". Smash 2015 album from the chart-topping UK songstress ... her first in 4 years! Includes songs co-written with Greg Kurstin (The Bird & The Bee), Tobias Jesso Jr and Bruno Mars. Features ""Hello"".']",43.06,"[{'thumb': 'https://m.media-amazon.com/images/I/518ucmfRkqL._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/518ucmfRkqL.jpg', 'variant': 'MAIN', 'hi_res': None}]",[],Adele   Format: Audio CD,"['CDs & Vinyl', 'Pop']","{'Is Discontinued By Manufacturer': 'No', 'Product Dimensions': '4.88 x 5.63 x 0.47 inches; 3.95 Ounces', 'Manufacturer': 'Hostess', 'Date First Available': 'October 26, 2015', 'Label': 'Hostess', 'Number of discs': '1'}",B0170HGUI6,,,
Digital Music,25,4.7,26009,[],"['""25"" is the highly anticipated new album from Adele, and is her first new music since her Oscar winning single ""Skyfall"" in 2012. ""Hello"" is the debut single from ""25."" The cinematic video for Hello was shot in the countryside surrounding Montreal and is directed by the celebrated young Canadian director Xavier Dolan (Mommy, Tom at the Farm).The LP is one disc in 180 Gram vinyl.']",34.7,"[{'thumb': 'https://m.media-amazon.com/images/I/51yGCNhmUHL._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51yGCNhmUHL.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/81q0mwIoc0L._SL1500_.jpg'}]","[{'title': 'Arrived warped!!!', 'url': 'https://www.amazon.com/vdp/9203006689e949cf9f2d0cecea4d0b5f?ref=dp_vse_rvc_0', 'user_id': 'AF7C2GZFSV56UJOIY44HUIB2DI4A'}, {'title': 'BAD QUALITY', 'url': 'https://www.amazon.com/vdp/ecdd7f59f557423b91c82eaf9b1ea9df?ref=dp_vse_rvc_1', 'user_id': 'AEKBSU5DH5EL6G7CRJOME4PXGO6A'}]",Adele   Format: Vinyl,"['CDs & Vinyl', 'Pop']","{'Is Discontinued By Manufacturer': 'No', 'Product Dimensions': '12 x 12.6 x 1 inches; 8 Ounces', 'Manufacturer': 'Columbia Records Group', 'Original Release Date': '2015', 'Run time': '48 minutes', 'Date First Available': 'October 23, 2015', 'Label': 'Columbia Records Group', 'Number of discs': '1'}",B016X9KM5E,,,
Digital Music,Fine Line,4.7,24219,[],"['Double 180 gm vinyl LP pressing including poster. 2019 release, the sophomore solo album from the British artist best known for his work with boy band One Direction. Includes the singles ""Lights Up"" and ""Watermelon Sugar"". Note: All vinyl LPs require cleaning prior to playing for optimum sound quality.']",30.49,"[{'thumb': 'https://m.media-amazon.com/images/I/41J65y2pDNL._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41J65y2pDNL.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/61TZoz02rbL._SL1500_.jpg'}]","[{'title': 'Scratched!!', 'url': 'https://www.amazon.com/vdp/5895b1e0a3e74fb5864f0b8a64b98b17?ref=dp_vse_rvc_0', 'user_id': 'AGNIRN7GJ3QJH5PDRXKR4XT56PUA'}, {'title': 'Is perfect', 'url': 'https://www.amazon.com/vdp/0380e7d64a67475b8b7bfdf64b8f85ae?ref=dp_vse_rvc_1', 'user_id': 'AGEZ6UQ56727GRB2LU6DOU377CFA'}, {'title': 'Bad quality!!!', 'url': 'https://www.amazon.com/vdp/e644b5a3e8114909b94f3ec3aebdc93c?ref=dp_vse_rvc_2', 'user_id': 'AEC7LD25LS2PBATUAEZL2HU4ANMQ'}, {'title': 'Defective vinyl......', 'url': 'https://www.amazon.com/vdp/23cd3375a8fc4369aebe5aef26a9ecee?ref=dp_vse_rvc_3', 'user_id': 'AE6YRNEVEWMTB3UAAUD6ZY3IMIMQ'}, {'title': 'PERFECT!!', 'url': 'https://www.amazon.com/vdp/091f1d933b9642679a79230ab4457bbe?ref=dp_vse_rvc_4', 'user_id': 'AEAU2WUXAOC46ERREDVT6ULS3S7Q'}, {'title': 'highkey sad', 'url': 'https://www.amazon.com/vdp/cb7c1cad72bf48739672c8a8f0673c54?ref=dp_vse_rvc_5', 'user_id': 'AHDB4CODTPVTUS5HVTDU3YAQ7CRQ'}, {'title': 'Horrible Quality', 'url': 'https://www.amazon.com/vdp/481878c29a4142aeb2e49dd20cfce0d2?ref=dp_vse_rvc_6', 'user_id': 'AELMOSKM6X7MRBUB3COPUUOHY2MQ'}, {'title': 'Heart broken, record is in terrible condition - COMPANY IS AMAZING, refunded and made right.', 'url': 'https://www.amazon.com/vdp/0cda8bd14ba54be1aa6c3c0d5c8a10be?ref=dp_vse_rvc_7', 'user_id': 'AFXFYQ4JQVGWIPAD3UROTDWVIGMA'}, {'title': 'The vinyl came bent', 'url': 'https://www.amazon.com/vdp/64e8eee01ef34c85a6dceb95d38e93f6?ref=dp_vse_rvc_8', 'user_id': 'AHMZYXGDYDYGQFBDM7IIT6PN2ZFA'}, {'title': 'very good vinyl', 'url': 'https://www.amazon.com/vdp/af6f6cb9d239439ba88ef37812a12e46?ref=dp_vse_rvc_9', 'user_id': 'AGB2TIYHGVQIITFB7SH6CQKFBGAQ'}]",Harry Styles   Format: Vinyl,"['CDs & Vinyl', 'Pop']","{'Product Dimensions': '12.3 x 12.3 x 0.4 inches; 1.55 Pounds', 'Manufacturer': 'Columbia Records Group', 'Item model number': '194397051414', 'Original Release Date': '2019', 'Run time': '47 minutes', 'Date First Available': 'November 4, 2019', 'Label': 'Columbia Records Group', 'Country of Origin': 'USA', 'Number of discs': '2'}",B07ZWBNZR4,,,
Digital Music,Fine Line,4.7,24205,[],"['2019 release, the sophomore solo album from the British artist best known for his work with boyband One Direction. Includes the singles ""Lights Up"" and ""Watermelon Sugar"".']",12.01,"[{'thumb': 'https://m.media-amazon.com/images/I/419UKv52qgL._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/419UKv52qgL.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/61v6lSOpccL._SL1500_.jpg'}]",[],Harry Styles   Format: Audio CD,"['CDs & Vinyl', 'Pop']","{'Product Dimensions': '4.9 x 5.4 x 0.4 inches; 2.4 Ounces', 'Manufacturer': 'Columbia Records Group', 'Original Release Date': '2019', 'Run time': '47 minutes', 'Date First Available': 'November 4, 2019', 'Label': 'Columbia Records Group', 'Country of Origin': 'USA', 'Number of discs': '1'}",B07ZWBPM15,,,
Digital Music,Street Cat Named Bob,4.6,23740,[],['CD'],9.69,"[{'thumb': 'https://m.media-amazon.com/images/I/515Ls9eBwDL._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/515Ls9eBwDL.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/913bd6kaTNL._SL1500_.jpg'}]",[],James Bowen   Format: Audio CD,"['CDs & Vinyl', 'Rock']","{'Is Discontinued By Manufacturer': 'No', 'Language': 'English', 'Product Dimensions': '4.88 x 5.59 x 0.47 inches; 3.67 Ounces', 'Manufacturer': 'Redbush Ent', 'Original Release Date': '2016', 'Date First Available': 'July 2, 2013', 'Label': 'Redbush Ent', 'Number of discs': '2'}",1908571055,,,
Digital Music,The Greatest Showman SOUNDTRACK CD,4.9,23640,[],[],,"[{'thumb': 'https://m.media-amazon.com/images/I/61eZ1DjQnjL._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/61eZ1DjQnjL.jpg', 'variant': 'MAIN', 'hi_res': None}]",[],Hugh Jackman   Format: Audio CD,"['CDs & Vinyl', 'Soundtracks']","{'Date First Available': 'July 14, 2018'}",B07FK9XVNB,,,
Digital Music,US direct The Greatest Showman SOUNDTRACK CD,4.9,23635,[],[],,"[{'thumb': 'https://m.media-amazon.com/images/I/61eZ1DjQnjL._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/61eZ1DjQnjL.jpg', 'variant': 'MAIN', 'hi_res': None}]",[],Hugh Jackman   Format: Audio CD,"['CDs & Vinyl', 'Soundtracks']","{'Package Dimensions': '5.51 x 5.04 x 0.35 inches; 3.77 Ounces', 'Date First Available': 'December 8, 2017'}",B07CPPJBWT,,,
Digital Music,The Greatest Showman Soundtrack,4.9,23631,[],[],21.99,"[{'thumb': 'https://m.media-amazon.com/images/I/51+XUq7xZAL._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51+XUq7xZAL.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/81D4zDPBqdL._SL1425_.jpg'}]",[],Hugh Jackman   Format: Vinyl,"['CDs & Vinyl', 'Soundtracks']",{},B0779JHWSK,,,
Digital Music,GREATEST SHOWMAN - SOUNDTRACK : STANDARD EDITION,4.9,23476,[],"['STANDARD EDITION : Songs from the 2017 PT Barnum musical biopic by cast members Hugh Jackman, Zac Efron, Michelle Williams and others!']",,"[{'thumb': 'https://m.media-amazon.com/images/I/61eZ1DjQnjL._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/61eZ1DjQnjL.jpg', 'variant': 'MAIN', 'hi_res': None}]",[],Hugh Jackman   Format: Audio CD,"['CDs & Vinyl', 'Soundtracks']","{'Product Dimensions': '0.39 x 0.39 x 0.5 inches; 3.7 Ounces', 'Item model number': 'XN779', 'Date First Available': 'January 24, 2018'}",B0798C7X5Q,,,
