rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase,text_cleaned,title_cleaned,text_cleaned1,title_cleaned1,text_sentiment,title_sentiment,text_sentiment_Original
5.0,Perfect fit,"For my fridge it was easy to install. Down low, but at the front.",[],B00UXG4WR8,B00UXG4WR8,AG6SKI6EDOIS55QBTX6RHMBG75RA,2023-03-14 03:56:30.049,0,True,"for my fridge it be easy to install . down low , but at the front .",perfect fit,fridge easy install low,perfect fit,4,4,3
5.0,Fresh tasting water!,"Easy to replace even though I’m not very mechanical. Did it by myself. Great value: water tastes very fresh, filter lasts a long time. We use it everyday.",[],B00UXG4WR8,B00UXG4WR8,AFB43SVUXPKYVGBXIRO4LQTTMTVA,2021-12-23 01:27:01.849,0,True,"easy to replace even though i ’m not very mechanical . do it by myself . great value : water taste very fresh , filter last a long time . we use it everyday .",fresh taste water !,easy replace mechanical great value water taste fresh filter last long time use everyday,fresh taste water,4,4,4
5.0,easy use,just look at the way yours comes out when you lift the flap and take the double tip cover off and shove it in the hole and latch the door back with mounts it in place. then go run the air out of the line and your set. 1500 bottles of water I guess it is worth the price but I am new to these so not sure prices over all. It is not cheap but has pretty long time of use at 6 months. also we just got it so not sure about any kind of flavor from this review questions.,[],B00UXG4WR8,B00UXG4WR8,AE2O6SYD7T2GZPWFOA2OPC7XW3HQ,2023-01-17 16:11:00.146,0,True,just look at the way yours come out when you lift the flap and take the double tip cover off and shove it in the hole and latch the door back with mount it in place . then go run the air out of the line and your set . 1500 bottle of water i guess it be worth the price but i be new to these so not sure price over all . it be not cheap but have pretty long time of use at 6 month . also we just get it so not sure about any kind of flavor from this review question .,easy use,look way come lift flap double tip cover shove hole latch door mount place run air line set bottle water guess worth price new sure price cheap pretty long time use month get sure kind flavor review question,easy use,4,4,4
5.0,Less expensive than our local hardware shops,"Not really easy the first time you try to install it. BUT, now that we know how, we will purchase again and again.",[],B00UXG4WR8,B00UXG4WR8,AFQQNWQS6K3E5ZH46YZMEVUIHDAA,2022-01-06 14:24:31.987,0,True,"not really easy the first time you try to install it . but , now that we know how , we will purchase again and again .",less expensive than our local hardware shop,easy time try install know purchase,expensive local hardware shop,4,0,2
5.0,Great Water Filter,This filter keeps our city well water tasting good.  I would never go without.,[],B00UXG4WR8,B00UXG4WR8,AH5GGBYFVAWX4PSDBB4UUC7YCSJQ,2021-07-07 23:27:01.919,0,True,this filter keep our city well water taste good .   i would never go without .,great water filter,filter keep city water taste good,great water filter,4,4,4
5.0,WONDERFUL-TASTING WATER!,"We purchased this and loved it! Then, we tried to save a few bucks by buying a generic filter. The water treated awful. We only used it for a couple days until we could order another one of these.  Sounds crazy, but I miss the taste of my water when I'm traveling. I buy bottled spring water because it's the only thing that comes close as far as taste.",[],B00UXG4WR8,B00UXG4WR8,AHDAKYOPMWAHSGARYDKJOS4NNZSA,2019-12-06 22:22:43.816,0,True,"we purchase this and love it ! then , we try to save a few buck by buy a generic filter . the water treat awful . we only use it for a couple day until we could order another one of these .   sound crazy , but i miss the taste of my water when i be travel . i buy bottled spring water because it be the only thing that come close as far as taste .",wonderful - tasting water !,purchase love try save buck buy generic filter water treat awful couple day order sound crazy miss taste water travel buy bottled spring water thing come close far taste,wonderful tasting water,4,4,0
5.0,Five Stars,None,[],B00UXG4WR8,B00UXG4WR8,AFYMW6DBAIVX2YPT5B2HSHOJSXKA,2017-10-28 14:37:07.127,0,True,none,five star,,star,4,4,0
5.0,Works,Works,[],B00UXG4WR8,B00UXG4WR8,AFQNHDM5U3PICULYQWZWXFP7XHQA,2021-04-20 20:45:40.339,0,True,work,work,work,work,4,4,4
5.0,Works perfectly,Just what I needed for my Kitchen Aid refrigerator.,[],B00UXG4WR8,B00UXG4WR8,AEJBF2X6L2D76Z7HJO7CALPKHZVA,2022-01-02 20:47:39.375,0,True,just what i need for my kitchen aid refrigerator .,work perfectly,need kitchen aid refrigerator,work perfectly,4,4,4
4.0,Easy to install,"Unlike other reviews, this works as expected. The water flow is good and arrived fast",[],B00UXG4WR8,B00UXG4WR8,AFULX2WH3MMCQJMVSBUYFWCHQRDA,2022-12-01 13:49:41.852,0,True,"unlike other review , this work as expect . the water flow be good and arrive fast",easy to install,unlike review work expect water flow good arrive fast,easy install,4,4,4
5.0,Price is really high,The price is a bit steep especially for one item. But it does fit our fridge and it works well.,[],B00UXG4WR8,B00UXG4WR8,AG33XAFVUS5EYRNUORK77RSYHCAQ,2022-11-03 12:40:03.997,0,True,the price be a bit steep especially for one item . but it do fit our fridge and it work well .,price be really high,price bit steep especially item fit fridge work,price high,3,4,3
5.0,Good product.,Good product.,[],B00UXG4WR8,B00UXG4WR8,AENB356QSSQLE2NAMKE2CF7LGZ4A,2022-09-26 22:45:49.244,0,True,good product .,good product .,good product,good product,4,4,4
5.0,Auto ship at its finest,"Little red light for filter comes in an my filter arrived a few days ago, while still in the yellow some",[],B00UXG4WR8,B00UXG4WR8,AG52OSNLBS2QS6MBSRGQGNSJCGBA,2019-12-19 13:40:12.866,0,True,"little red light for filter come in an my filter arrive a few day ago , while still in the yellow some",auto ship at its fine,little red light filter come filter arrive day ago yellow,auto ship fine,4,4,3
5.0,Five Stars,Best deal $$-wise I've found on this expensive item.,[],B00UXG4WR8,B00UXG4WR8,AELSPOC727LLF45WGBYLI4MGJNVQ,2018-01-22 16:22:26.051,0,True,good deal $ $ -wise i have find on this expensive item .,five star,good deal find expensive item,star,4,4,4
5.0,Genuine filter for Whirlpool,Easier to find and cheaper than in hardware or appliance store.,[],B00UXG4WR8,B00UXG4WR8,AGP6F5RPFQ6QMANVEAWUUHYAMX6A,2019-12-12 21:00:29.196,0,True,easy to find and cheap than in hardware or appliance store .,genuine filter for whirlpool,easy find cheap hardware appliance store,genuine filter whirlpool,4,4,4
4.0,Pricey but available,"I have used other suppliers of filters in the past but the vendors seem a bit flaky.  I feel more confidant sticking with the more expensive factory replacement filter on my expensive refrigerator than chancing a purchase from a vendor whose identity will change or disappear frequently.  Mumble, gripe, pay and enjoy.",[],B00UXG4WR8,B00UXG4WR8,AHEWMIIM4SK7YNFZ3IADPCX4ARVQ,2020-04-24 18:57:33.350,0,True,"i have use other supplier of filter in the past but the vendor seem a bit flaky .   i feel more confidant stick with the more expensive factory replacement filter on my expensive refrigerator than chance a purchase from a vendor whose identity will change or disappear frequently .   mumble , gripe , pay and enjoy .",pricey but available,supplier filter past vendor bit flaky feel confidant stick expensive factory replacement filter expensive refrigerator chance purchase vendor identity change disappear frequently mumble gripe pay enjoy,pricey available,4,4,3
5.0,"Very Good - But Every 6 Months, Tight","OK If you have a large family ,and they are always getting water , yes. But we are down to 3 ,and we drink bottled water. We use it ,but not real often ,so for $50 + ,I would go a year.",[],B00UXG4WR8,B00UXG4WR8,AFEPQ43RURVEHJZO7EQFS5JNM3QA,2022-10-02 21:37:47.122,1,True,"ok if you have a large family , and they be always get water , yes . but we be down to 3 , and we drink bottled water . we use it , but not real often , so for $ 50 + , i would go a year .","very good - but every 6 month , tight",ok large family get water yes drink bottled water use real year,good month tight,4,4,2
4.0,No nasty taste.,"Only reason I give it 4 stars is the price. I have found them cheaper other places (about 8 dollars less), but you don't have to go anywhere with Amazon so its a double edged sword. Doesn't give a weird taste (after you flush it like it says) and installation is super easy (my 3 year old helped me last time). All in all a great product, wish it was a little more competitive on price is all.",[],B00UXG4WR8,B00UXG4WR8,AGAN7JNORG6HFV75LQM4I7XSR7PQ,2020-08-06 06:59:01.029,0,True,"only reason i give it 4 star be the price . i have find they cheap other place ( about 8 dollar less ) , but you do not have to go anywhere with amazon so its a double edged sword . do not give a weird taste ( after you flush it like it say ) and installation be super easy ( my 3 year old help i last time ) . all in all a great product , wish it be a little more competitive on price be all .",no nasty taste .,reason star price find cheap place dollar amazon double edged sword weird taste flush like say installation super easy year old help time great product wish little competitive price,nasty taste,4,4,3
5.0,easy to get these on Amazon,I got tired of going to Lowes and Home Depot and having them out of these filters. It is just so much easier to get them here. I order one as soon as I put one in the fridge so it is at the ready. I had to rate the flavor for this review so obviously whoever set the parameters for reviewing doesn't know what they are doing.,[],B00UXG4WR8,B00UXG4WR8,AE6543BDEBMDZILJ4VLHBZNNL2NA,2020-07-04 20:51:04.238,0,True,i get tired of go to lowes and home depot and have they out of these filter . it be just so much easy to get they here . i order one as soon as i put one in the fridge so it be at the ready . i have to rate the flavor for this review so obviously whoever set the parameter for review do not know what they be do .,easy to get these on amazon,get tired go lowes home depot have filter easy order soon fridge ready rate flavor review obviously set parameter review know,easy amazon,4,4,4
5.0,Easiest installation ever!,In and out in seconds.  Great filter.,[],B00UXG4WR8,B00UXG4WR8,AGQTGZVUCVOB2HVXXZ3Y4ON63H5Q,2021-12-01 18:31:52.765,0,True,in and out in second .   great filter .,easiest installation ever !,second great filter,easiest installation,4,4,4
5.0,Better taste,Water tastes better!,[],B00UXG4WR8,B00UXG4WR8,AHL723KMPKRYNWSDYNWMHUY4F4DA,2020-01-27 11:45:52.804,0,True,water taste well !,well taste,water taste well,well taste,4,4,4
5.0,Expensive but worth it,"This is the only water filter for my Kenmore refrigerator that gives me good tasting water.  The last set sold by Setogleen from Amazon were absolutely worthless.  I see they are not being carried any more.  A good water filter is way to much money in my opinion, but the everydrop is the only one I will buy from now on.",[],B00UXG4WR8,B00UXG4WR8,AEFV6L56VVNP3EWGJDMESKQGDXKQ,2022-10-02 22:41:28.807,1,True,"this be the only water filter for my kenmore refrigerator that give i good taste water .   the last set sell by setogleen from amazon be absolutely worthless .   i see they be not be carry any more .   a good water filter be way to much money in my opinion , but the everydrop be the only one i will buy from now on .",expensive but worth it,water filter kenmore refrigerator give good taste water set sell setogleen amazon absolutely worthless carry good water filter way money opinion everydrop buy,expensive worth,4,0,4
5.0,Excellent Quality!,We replace this regularly and we never waste our money on single use plastic bottles,[],B00UXG4WR8,B00UXG4WR8,AHO6YZT4MZNN6SVCHQN65YLDZLCA,2021-01-27 22:51:11.784,0,True,we replace this regularly and we never waste our money on single use plastic bottle,excellent quality !,replace regularly waste money single use plastic bottle,excellent quality,4,4,4
4.0,My Frig is the new Home Printer...,It fits great and is the exact same as the one that was OEM on my<br />Whirlpool side by side I purchased about 6 months ago....works ok....but it reminds me of the sinking feeling every time I buy ink cartridges for my printer....it’s a recurring revenue<br />stream for the mfg.  My frig is just a vehicle to sell water filter cartridges.,[],B00UXG4WR8,B00UXG4WR8,AFO5VM4Y6MPT52FSDKPGJ4YRMWQA,2019-06-22 02:59:48.633,0,True,it fit great and be the exact same as the one that be oem on my < br />whirlpool side by side i purchase about 6 month ago .... work ok .... but it remind i of the sink feeling every time i buy ink cartridge for my printer .... it ’ a recur revenue < br />stream for the mfg .   my frig be just a vehicle to sell water filter cartridge .,my frig be the new home printer ...,fit great exact oem br purchase month ago work ok remind sink feeling time buy ink cartridge printer recur revenue br mfg frig vehicle sell water filter cartridge,frig new home printer,4,4,4
5.0,This product always works for my constipation!,This medication always works.,[],B00UXG4WR8,B00UXG4WR8,AHOBHFVO52UFP222PMLR2EWN7KTA,2022-02-24 21:55:28.716,0,True,this medication always work .,this product always work for my constipation !,medication work,product work constipation,4,4,4
5.0,Easy to use!,Easy to install and cheaper than buying from Whirlpool.,[],B00UXG4WR8,B00UXG4WR8,AGP5NLFYMJQ7UQ4YKBRWK4YOOZ2A,2019-05-21 23:38:19.198,0,True,easy to install and cheap than buy from whirlpool .,easy to use !,easy install cheap buy whirlpool,easy use,4,4,4
2.0,Whirlpool will not honor a replacement if purchased from Amzone,"This is the first issue I am having with this filter, but when we put this one on water leak all over the floor, my husband tried twice, each time he put the old on back there was no issue he put this one in and is is obviously  defective. BUT because I ordered it from Amazon Whirlpool will not honor a replacement.",[],B00UXG4WR8,B00UXG4WR8,AG3VPY7CBFSXAE4TNM7OZISXUJNQ,2021-04-13 20:46:41.256,0,True,"this be the first issue i be have with this filter , but when we put this one on water leak all over the floor , my husband try twice , each time he put the old on back there be no issue he put this one in and be be obviously   defective . but because i order it from amazon whirlpool will not honor a replacement .",whirlpool will not honor a replacement if purchase from amzone,issue have filter water leak floor husband try twice time old issue obviously defective order amazon whirlpool honor replacement,whirlpool honor replacement purchase amzone,0,4,0
5.0,"Clear, Cool Water",Works great. Exact replacement part.,[],B00UXG4WR8,B00UXG4WR8,AER2UNT3MJ4OLBROVHW57YE6K4LQ,2017-02-20 22:47:23.000,0,True,work great . exact replacement part .,"clear , cool water",work great exact replacement,clear cool water,4,4,4
5.0,Fits Kenmore also go by model number,"I have been drinking more water and use lots of ice.  These are easy to change.  My only complaint is the price.  20 seems like a much more fair price for these, feel like I am being robbed.",[],B00UXG4WR8,B00UXG4WR8,AGTCRILUEDIZ24O46TZJXCIZ3BOQ,2020-06-16 02:00:28.378,0,True,"i have be drink more water and use lot of ice .   these be easy to change .   my only complaint be the price .   20 seem like a much more fair price for these , feel like i be be rob .",fits kenmore also go by model number,drink water use lot ice easy change complaint price like fair price feel like rob,fits kenmore model number,4,4,4
1.0,why is the filter rated by time and not usage?,"I have 2 issues:  rating based on a timeline, and the new cheaper plastic design securing cartridge into port.  Although easy to install, I suspect that in 2-3 years the plastic closure door securing the water cartridge will break - and I will have an issue and unable to hold a cartridge in place.<br />(2):  since the refrigerator manufactured date shows March and I bought it in Oct., the water cartridge is now past its expiration date.  Apparently KitchenAid is selling an outdated product!<br />Does this 'new' filter now require a change - as advised by the manufacturer?<br />SOMETHING IS WRONG WITH THIS PICTURE!",[],B00UXG4WR8,B00UXG4WR8,AEMMNNYSGPRIR5VQXJ3OPWJ3BI3Q,2022-10-09 14:52:59.253,0,False,"i have 2 issue :   rating base on a timeline , and the new cheap plastic design securing cartridge into port .   although easy to install , i suspect that in 2 - 3 year the plastic closure door secure the water cartridge will break - and i will have an issue and unable to hold a cartridge in place.<br />(2 ):   since the refrigerator manufacture date show march and i buy it in oct. , the water cartridge be now past its expiration date .   apparently kitchenaid be sell an outdated product!<br />does this ' new ' filter now require a change - as advise by the manufacturer?<br />something be wrong with this picture !",why be the filter rate by time and not usage ?,issue rating base timeline new cheap plastic design securing cartridge port easy install suspect year plastic closure door secure water cartridge break issue unable hold cartridge refrigerator manufacture date show march buy water cartridge past expiration date apparently kitchenaid sell outdated new filter require change advise wrong picture,filter rate time usage,0,4,1
5.0,Easy installation,Very easy to install no complaints,[],B00UXG4WR8,B00UXG4WR8,AHMMWVIQ7PBGMXD4DYAA3H4YV2EA,2019-02-26 20:14:12.243,0,True,very easy to install no complaint,easy installation,easy install complaint,easy installation,4,4,4
5.0,Tasty Water,"Great product, great taste of water.",[],B00UXG4WR8,B00UXG4WR8,AEBVXMLDWLZJABPQVTPR26FIPRKA,2021-08-10 19:18:33.452,0,True,"great product , great taste of water .",tasty water,great product great taste water,tasty water,4,4,4
1.0,Causing my water line to stop working,"This is the same filter we have always used, but the one we just got a few weeks ago is causing out water dispenser to not work.  We have to remove the filter and shake it in order for the line to work again. (No, it isn’t freezing up.). Bummer because these things are pricey!!",[],B00UXG4WR8,B00UXG4WR8,AF45OVBIR2A6KIZKH6VPBOWHTT3A,2020-03-03 00:30:09.519,0,True,"this be the same filter we have always use , but the one we just get a few week ago be cause out water dispenser to not work .   we have to remove the filter and shake it in order for the line to work again . ( no , it be not freeze up . ) . bummer because these thing be pricey ! !",cause my water line to stop work,filter get week ago cause water dispenser work remove filter shake order line work freeze bummer thing pricey,cause water line stop work,4,0,0
5.0,Very easy to install,I liked the product because it was as advertised and it was easy to install.,[],B00UXG4WR8,B00UXG4WR8,AHPYQHS25GBDTOSA7AP562EP2UPQ,2021-01-06 14:23:48.537,0,True,i like the product because it be as advertise and it be easy to install .,very easy to install,like product advertise easy install,easy install,4,4,4
4.0,Does what it’s made to do,Does what it’s made to do but it seems expensive.,[],B00UXG4WR8,B00UXG4WR8,AEMZAVDYPS65DBBMFSWAVW3PIGUQ,2022-05-20 14:50:06.674,0,True,do what it ’s make to do but it seem expensive .,do what it ’s make to do,expensive,,0,4,3
5.0,EveryDrop by Whirlpool 10383251 Refrigerator Water Filter,This is the filter our fridge uses.  Good quality and lasts us about 6 mos.,[],B00UXG4WR8,B00UXG4WR8,AGWYMHQPH26D56XUZ54FGTKH5IZQ,2021-06-28 15:08:55.888,0,True,this be the filter our fridge use .   good quality and last we about 6 mo .,everydrop by whirlpool 10383251 refrigerator water filter,filter fridge use good quality last mo,everydrop whirlpool refrigerator water filter,4,4,4
1.0,Defective,REALLY BAD QUALITY! It worked for two weeks and then clogged up. Water dispenser no longer works when filter is installed. Must be a manufacturing defect.,[],B00UXG4WR8,B00UXG4WR8,AF3Q2XS6SYVZECYMSDYBESECNVJQ,2017-05-25 18:29:25.000,2,True,really bad quality ! it work for two week and then clog up . water dispenser no long work when filter be instal . must be a manufacturing defect .,defective,bad quality work week clog water dispenser long work filter instal manufacturing defect,defective,0,0,0
5.0,Easy install,Easy install,[],B00UXG4WR8,B00UXG4WR8,AHCMJUXZJGRIOBO7W2TGH44DVP5A,2018-09-06 02:17:10.353,0,True,easy install,easy install,easy install,easy install,4,4,4
5.0,Five Stars,Excellent,[],B00UXG4WR8,B00UXG4WR8,AG4PIUIYVK7ADZB5WRLQBCABPFOA,2018-09-10 00:31:19.505,0,True,excellent,five star,excellent,star,4,4,4
4.0,Whirlpool Refrigerator Water Filter,Filter arrived so quickly and well packaged.  This filter works well and very easy to install but pricey,[],B00UXG4WR8,B00UXG4WR8,AHOGESTRDWPZYJ3P3GLAN6H7LZ2A,2018-12-05 13:09:13.518,0,True,filter arrive so quickly and well package .   this filter work well and very easy to install but pricey,whirlpool refrigerator water filter,filter arrive quickly package filter work easy install pricey,whirlpool refrigerator water filter,4,4,4
5.0,Works well.,Solid construction and easy to replace.,[],B00UXG4WR8,B00UXG4WR8,AFMG3ETGHWAMFRVTTJMS4POLKQFA,2019-07-04 11:10:45.632,0,True,solid construction and easy to replace .,work well .,solid construction easy replace,work,4,4,4
4.0,"They don't seem to last very long, It says 6 months but  I doubt it.","Easy to install. Almost $50. bucks, wow",[],B00UXG4WR8,B00UXG4WR8,AFWDJ4FOPT73FGJGUWMYREBTCSRQ,2020-11-19 22:12:14.748,0,True,"easy to install . almost $ 50 . buck , wow","they do not seem to last very long , it say 6 month but   i doubt it .",easy install buck wow,long say month doubt,4,0,4
5.0,Works as it’s suppose to.,Used for refrigerator,[],B00UXG4WR8,B00UXG4WR8,AHINP5KWAN4R4LVQ6G7KPKBRZ7JQ,2022-10-05 23:19:18.510,0,True,use for refrigerator,work as it ’s suppose to .,refrigerator,work suppose,4,4,4
5.0,Just what I needed!,Perfect for my fridge!,[],B00UXG4WR8,B00UXG4WR8,AEGGZHC66KMAJZDI3U2ZLDHN7KPQ,2021-06-07 22:06:00.130,0,True,perfect for my fridge !,just what i need !,perfect fridge,need,4,4,4
5.0,WELL THIS IS WHAT MY FRIDGE SAID TO GET,It works thank goodness 💁🏾,[],B00UXG4WR8,B00UXG4WR8,AHSXWITNENTZ5WURME3MBSIL55BQ,2022-05-06 22:01:18.985,0,True,it work thank goodness 💁 🏾,well this be what my fridge say to get,work thank goodness,fridge say,4,4,4
3.0,So So,Didn't like it.,[],B00UXG4WR8,B00UXG4WR8,AEF6QE7EOSWODK6UJSRA77EOY2QA,2019-03-24 18:05:19.032,0,True,do not like it .,so so,like,,4,4,0
5.0,Crystal Clear,"Water is clean, original new filter sent by Amazon. Tip, to remove cloudy residue you have to run the water atleast a gallon before drinking.","[{'small_image_url': 'https://m.media-amazon.com/images/I/61Y90P5gO1L._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/61Y90P5gO1L._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/61Y90P5gO1L._SL1600_.jpg', 'attachment_type': 'IMAGE'}]",B00UXG4WR8,B00UXG4WR8,AF6NZ43KJKLE7ZW7FKVUP5SQAWEQ,2022-01-09 00:32:21.495,0,True,"water be clean , original new filter send by amazon . tip , to remove cloudy residue you have to run the water atleast a gallon before drink .",crystal clear,water clean original new filter send amazon tip remove cloudy residue run water atleast gallon drink,crystal clear,4,4,4
