rating,title_x,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase,main_category,title_y,average_rating,rating_number,features,price,text_cleaned,text_cleaned1,sentiment
1,Disappointed,Thought it was going too be a better album.  It wasn't very disappointing,[],B09HVRTMFX,B09HVRTMFX,AFSNN6YRQES3SHB7GSPFNTZOZQNQ,2022-01-08 14:28:48.474,0,True,Digital Music,30,4.6,39104,[],7.27,thought it be go too be a well album .   it be not very disappointing,thought go well album disappointing,2
5,ACDC cd,"It's ACDC, what's not to like. Sounds the same as oldies.",[],B08KGT79CH,B08KGT79CH,AHFCZ7GGUXXALHKHBYLZRS6TTWBA,2020-11-29 16:14:06.783,0,True,Digital Music,POWER UP,4.8,28753,[],8.85,"it be acdc , what be not to like . sound the same as oldie .",acdc like sound oldie,4
5,Great CD,I love me some Adele. This CD is 😎 awesome. SangGirl,[],B09HVRTMFX,B09HVRTMFX,AFPRCLWQFOSJBNNYTSLMAO3FA6YQ,2021-12-16 19:08:09.779,0,True,Digital Music,30,4.6,39104,[],7.27,i love i some adele . this cd be 😎 awesome . sanggirl,love adele cd awesome sanggirl,4
5,Good to have Brian Johnson back!,Good solid tunes and they have the good old rhythm section back!,[],B08KGT79CH,B08KGT79CH,AFO57MJVTYBUF34U2QHH3WUIX6RQ,2021-01-02 18:35:31.900,0,True,Digital Music,POWER UP,4.8,28753,[],8.85,good solid tune and they have the good old rhythm section back !,good solid tune good old rhythm section,4
2,Not what I thought,Kinda disappointed only a couple songs I enjoyed,[],B09HVRTMFX,B09HVRTMFX,AFAQQC4VP3XSFP47WOBKZSO5Y7SQ,2021-11-23 15:35:42.544,3,True,Digital Music,30,4.6,39104,[],7.27,kinda disappoint only a couple song i enjoy,kinda disappoint couple song enjoy,2
5,Disc in great condition,Great addition to my collection,[],B08KGT79CH,B08KGT79CH,AG2H4HK3RCBPFEXFFY7YXKGTEXIQ,2020-12-26 20:47:45.510,0,True,Digital Music,POWER UP,4.8,28753,[],8.85,great addition to my collection,great addition collection,4
5,"saw it on TV, wonderful",Wow what a voice and so loved the special. Really liked the interview with Oprah. Hope Adele finds happiness to go along with her new look. wonderful music.,[],B09HVRTMFX,B09HVRTMFX,AG27KGQ65VDCBYFDOPWFC5TXDJQQ,2021-12-22 22:00:19.695,0,True,Digital Music,30,4.6,39104,[],7.27,wow what a voice and so love the special . really like the interview with oprah . hope adele find happiness to go along with her new look . wonderful music .,wow voice love special like interview oprah hope adele find happiness new look wonderful music,4
4,Beautiful albums but...,Beautiful white albums but I'm disappointed that I don't recognize a single song on them.  However; I'm a fan of Adele and will continue to enjoy them along with my other albums.  😁,[],B09HVTKLPQ,B09HVRTMFX,AEIE7QI5EBOYS4GIMUUKFRX3VKCQ,2022-12-28 21:28:17.651,0,True,Digital Music,30,4.6,39104,[],7.27,beautiful white album but i be disappointed that i do not recognize a single song on they .   however ; i be a fan of adele and will continue to enjoy they along with my other album .   😁,beautiful white album disappointed recognize single song fan adele continue enjoy album,3
5,I loved the movie,The soundtrack is very good. I have some new favorite artists because of this soundtrack.  Just what I wanted!  Thanks,[],B008KL4KB6,B008KL4KB6,AHMANPU77AIGGCTAEYIHN5RFZT4A,2014-01-07 01:50:02.000,0,True,Digital Music,The Perks of Being a Wallflower Original Soundtrack,4.6,37816,[],,the soundtrack be very good . i have some new favorite artist because of this soundtrack .   just what i want !   thank,soundtrack good new favorite artist soundtrack want thank,4
5,Good buy!,"Bought it for my husband, who is a HUGE AC⚡DC fan, and he LOVES it!",[],B08KGT79CH,B08KGT79CH,AGCYFKRLALHE5OSB74GUCNARQJGA,2020-12-29 11:44:33.900,0,True,Digital Music,POWER UP,4.8,28753,[],8.85,"buy it for my husband , who be a huge ac ⚡ dc fan , and he love it !",buy husband huge ac dc fan love,4
5,Love Adele,I love Adele and have her other cds,[],B09HVRTMFX,B09HVRTMFX,AGJLOD65ZA22CF3OAAF4PEH2ZH3A,2022-01-06 18:50:00.233,0,True,Digital Music,30,4.6,39104,[],7.27,i love adele and have her other cd,love adele cd,4
5,Back on top!,Awesome Rock album. Sounds like smooth Blues Rock. I love the whole album.,[],B08KGT79CH,B08KGT79CH,AGJPUCUJTFW5BFASKI6VIPGQZISQ,2021-02-08 17:53:51.588,0,True,Digital Music,POWER UP,4.8,28753,[],8.85,awesome rock album . sound like smooth blues rock . i love the whole album .,awesome rock album sound like smooth blues rock love album,4
3,Disappointing,Not near as good as previous,[],B09HVRTMFX,B09HVRTMFX,AFM6HECFGXHL5I4756SA4EYZD4HQ,2022-07-23 18:34:19.340,0,True,Digital Music,30,4.6,39104,[],7.27,not near as good as previous,near good previous,2
1,"Great music, Warped record","The album arrived terribly warped. The packaging was fine, but the record itself was so bad that it would not play. I looked into returning it and trying another copy, but the seller won't offer an exchange. We're hoping if we set it under some heavy books it will flatten and play, but I am extremely disappointed with the quality of the product.",[],B008OW1S02,B008KL4KB6,AEELDKB6Q2UVLS2XLKO2J26TJWHQ,2013-11-11 13:24:46.000,1,True,Digital Music,The Perks of Being a Wallflower Original Soundtrack,4.6,37816,[],,"the album arrive terribly warped . the packaging be fine , but the record itself be so bad that it would not play . i look into return it and try another copy , but the seller will not offer an exchange . we be hope if we set it under some heavy book it will flatten and play , but i be extremely disappointed with the quality of the product .",album arrive terribly warped packaging fine record bad play look return try copy seller will offer exchange hope set heavy book flatten play extremely disappointed quality product,0
5,Adele in all her glory,"Now this is not a review of the album, but it is a review of the quality of the pressing and the outstanding visual of having colored vinyl. This pressing is a great representation of her music and sounds great on my player. What I do also appreciate is that there is something extra special about having an exclusive color way for this album. As a fan of Adele I love it, but as a fan of music and a collector of records, this is great.",[],B09HVTKLPQ,B09HVRTMFX,AH2XSH7YRFO6UM6K6BG47ZEQWFGQ,2023-01-30 09:15:15.693,0,True,Digital Music,30,4.6,39104,[],7.27,"now this be not a review of the album , but it be a review of the quality of the press and the outstanding visual of have color vinyl . this press be a great representation of her music and sound great on my player . what i do also appreciate be that there be something extra special about have an exclusive color way for this album . as a fan of adele i love it , but as a fan of music and a collector of record , this be great .",review album review quality press outstanding visual have color vinyl press great representation music sound great player appreciate extra special have exclusive color way album fan adele love fan music collector record great,4
2,Not as I remembered,No thrills on this as it totally lacks any of her emotion.,[],B09HVRTMFX,B09HVRTMFX,AG4G532CUH7B4F4BXQFXENT756RA,2021-11-25 11:30:07.990,2,True,Digital Music,30,4.6,39104,[],7.27,no thrill on this as it totally lack any of her emotion .,thrill totally lack emotion,0
4,Good album,Not as good as her other albums,[],B09HVRTMFX,B09HVRTMFX,AEX2FNWRKAHNV3IHG4EEUOA2SPTQ,2022-06-22 18:09:37.452,0,True,Digital Music,30,4.6,39104,[],7.27,not as good as her other album,good album,2
5,what's with all the hate???,"To be honest, upon my initial attempt to listen to this album, I was not in the proper space to give it my full attention and I just skipped through the tracks to see if anything immediately stood out. I usually Never do that and I will sit through most things a few times before I formulate any sort of opinion.  Having a long commute to a job, I finally had the chance to listen to it and after Several listens, I Love the album. For those of you that think it's too sad, etc., I'm sorry to say, but this is Art and sometimes what inspires the work isn't always rainbows and sunshine. It's unfortunate that there seems to be so many persons whom would so quickly dismiss the artist because it's not what they wanted to hear. That's a pretty immature thought process and y'all should check yourselves because I'm not here writing a review of your albums or critiquing any of your art. if any of you were truly artists, you would not be saying the things that you are. Everyone is entitled to have an opinion, but just because you may not enjoy something does not meant it is not good. Just some food for thought.  I'd give the album a few more spins before talking smack. I consume all types of music, mostly heavier things. Things that the common person would probably have to wear a diaper to listen to. This album has made my list of favorite releases of the year some of which are Rivers of Nihil - The Work, Whitechapel - Kin, Spiritbox - Eternal Blue, Archspire - Bleed the Future,  Brand of Sacrifice - Lifeblood, Born of Osiris - Angel or Alien, Gojira - Fortitude, Darko US - Darko,  Slaughter to Prevail - Kostolom, Vildhjarta - Masstaden Under Vatten, just to name a few. Cheers!",[],B09HVSKCGQ,B09HVRTMFX,AGKVSFQDMBCRUEUO5GBVMKXKUVUQ,2021-12-06 23:59:38.710,0,False,Digital Music,30,4.6,39104,[],7.27,"to be honest , upon my initial attempt to listen to this album , i be not in the proper space to give it my full attention and i just skip through the track to see if anything immediately stand out . i usually never do that and i will sit through most thing a few time before i formulate any sort of opinion .   have a long commute to a job , i finally have the chance to listen to it and after several listen , i love the album . for those of you that think it be too sad , etc . , i be sorry to say , but this be art and sometimes what inspire the work be not always rainbow and sunshine . it be unfortunate that there seem to be so many person whom would so quickly dismiss the artist because it be not what they want to hear . that be a pretty immature thought process and you all should check yourself because i be not here write a review of your album or critique any of your art . if any of you be truly artist , you would not be say the thing that you be . everyone be entitle to have an opinion , but just because you may not enjoy something do not mean it be not good . just some food for thought .   i would give the album a few more spin before talk smack . i consume all type of music , mostly heavy thing . thing that the common person would probably have to wear a diaper to listen to . this album have make my list of favorite release of the year some of which be river of nihil - the work , whitechapel - kin , spiritbox - eternal blue , archspire - bleed the future ,   brand of sacrifice - lifeblood , bear of osiris - angel or alien , gojira - fortitude , darko us - darko ,   slaughter to prevail - kostolom , vildhjarta - masstaden under vatten , just to name a few . cheer !",honest initial attempt listen album proper space attention skip track immediately stand usually sit thing time formulate sort opinion have long commute job finally chance listen listen love album think sad etc sorry art inspire work rainbow sunshine unfortunate person quickly dismiss artist want hear pretty immature thought process check write review album critique art truly artist say thing entitle opinion enjoy mean good food thought album spin talk smack consume type music heavy thing thing common person probably wear diaper listen album list favorite release year river nihil work whitechapel kin spiritbox eternal blue archspire bleed future brand sacrifice lifeblood bear osiris angel alien gojira fortitude darko darko slaughter prevail kostolom vildhjarta masstaden vatten cheer,4
5,Excellent,My granddaughter really liked it!,[],B09HVRTMFX,B09HVRTMFX,AF4HQNT4VHMEFW67UZN2K7Q7V5NA,2021-12-14 05:05:00.475,0,True,Digital Music,30,4.6,39104,[],7.27,my granddaughter really like it !,granddaughter like,4
3,Disappointing,"May have been theraputic for Adele, but songs not as good as previous releases,",[],B09HVRTMFX,B09HVRTMFX,AETNAGCCW3CI4RK65GRJOBX4AQEA,2022-02-20 16:58:13.090,0,True,Digital Music,30,4.6,39104,[],7.27,"may have be theraputic for adele , but song not as good as previous release ,",theraputic adele song good previous release,2
5,Classic AC/DC!,"This album is a return to the ""High Voltage"" rock and roll this band pioneered.<br />Rest in Peace Malcolm.",[],B08KH2L8DH,B08KGT79CH,AHYXGQ2RR45NQ5XXTTGIQDUARTGQ,2020-12-17 11:33:35.508,0,True,Digital Music,POWER UP,4.8,28753,[],8.85,"this album be a return to the "" high voltage "" rock and roll this band pioneered.<br />rest in peace malcolm .",album return high voltage rock roll band peace malcolm,4
5,It's AC'DC,It's AC/DC.  Enough said.  Good album but the songs tend to all sound the same.,[],B08KGT79CH,B08KGT79CH,AH2XAIO7HU62XAFUOSBS4CCLWLUA,2021-12-05 22:35:18.524,0,True,Digital Music,POWER UP,4.8,28753,[],8.85,it be ac / dc .   enough say .   good album but the song tend to all sound the same .,ac dc say good album song tend sound,2
5,Music doesn't disappoint!!!,Love Adele.  Love this CD.  Music is phenomenal.,[],B09HVRTMFX,B09HVRTMFX,AFWWXOAZNQSJQBJFBFIKRJGT35WA,2021-11-28 20:28:32.332,0,True,Digital Music,30,4.6,39104,[],7.27,love adele .   love this cd .   music be phenomenal .,love adele love cd music phenomenal,4
5,Great,"Wife loves the cd , a little to whishy washed for me.",[],B09HVRTMFX,B09HVRTMFX,AH7Z3BTQIJMWRVX4DSG4YFJGG2NA,2022-01-16 19:11:28.539,0,True,Digital Music,30,4.6,39104,[],7.27,"wife love the cd , a little to whishy wash for i .",wife love cd little whishy wash,4
5,Great price,The price was great,[],B09HVRTMFX,B09HVRTMFX,AHQGNI3MX3RQBLYPXAQLTXADFIDA,2021-12-18 20:14:00.359,0,True,Digital Music,30,4.6,39104,[],7.27,the price be great,price great,4
1,"recieved in terrible condition, improper packaging",Love this music but recieved in awful packaging,[],B09HVRTMFX,B09HVRTMFX,AEBQAWDORFJXUBKRBQ5SQKLJATSA,2021-11-27 01:14:49.694,0,True,Digital Music,30,4.6,39104,[],7.27,love this music but recieve in awful packaging,love music recieve awful packaging,3
2,Meh.,"Adele is very talented and has a BEAUTIFUL voice.... but the songs on this CD just aren't 'keepers'.  Listening to this was like eavesdropping on a therapy session of someone going thru a mental health crisis.  I do very much like the 'Easy on Me' song, but it was the only song on the CD that I want to listen to more than once.",[],B09HVRTMFX,B09HVRTMFX,AFM6UDWYQNCYVII4NQVVJ5FPSFKQ,2022-01-19 19:19:34.796,0,True,Digital Music,30,4.6,39104,[],7.27,"adele be very talented and have a beautiful voice .... but the song on this cd just be not ' keeper ' .   listen to this be like eavesdropping on a therapy session of someone go thru a mental health crisis .   i do very much like the ' easy on i ' song , but it be the only song on the cd that i want to listen to more than once .",adele talented beautiful voice song cd keeper listen like eavesdropping therapy session go mental health crisis like easy song song cd want listen,2
5,Ac/dc fans will love it,One of the best from ac/dc by far. Can't stop listening to it.,[],B08KGT79CH,B08KGT79CH,AE4DXCNHAUI54PJF7QKGK6SDGCGQ,2020-11-27 21:37:33.365,0,True,Digital Music,POWER UP,4.8,28753,[],8.85,one of the good from ac / dc by far . can not stop listen to it .,good ac dc far stop listen,4
5,Its an OK album!,"Good Album, but not up to the musical  level of  A's  previous ones.  Nice never the less.",[],B09HVRTMFX,B09HVRTMFX,AFW4TFIZLIYQ2Z3G4JSGC6CCCKQA,2022-12-02 19:45:49.129,0,True,Digital Music,30,4.6,39104,[],7.27,"good album , but not up to the musical   level of   a 's   previous one .   nice never the less .",good album musical level previous one nice,3
4,Adele CD,Good CD. I preorder and got it fast shipping to me. And cheap price. Thanks.,[],B09HVRTMFX,B09HVRTMFX,AEAFMXFN5Y3QI6WQ6K5NBUCJALEA,2021-11-26 19:11:27.806,0,True,Digital Music,30,4.6,39104,[],7.27,good cd . i preorder and get it fast shipping to i . and cheap price . thank .,good cd preorder get fast shipping cheap price thank,4
4,Not spectacular.,"These are no bad songs on this album, although track #2 is rather tedious with repetitious lyrics.  Phil Rudd is as good, as always.  Cliff does his usual bass lines, which are good.  What I’m getting at is that this album sounds like all their albums from the last 35 years.  Yet, there are no blockbuster hits.  And there are very few standout guitar solos by Angus.  In fact, some songs have no solo or catchy riffs.  It’s all rhythm guitars.  It’s a good album.  But it’s not even close to being another Back In Black.  I almost gave it 3 stars.",[],B08KGT79CH,B08KGT79CH,AG6EDKW4LTUP3EKVJUFQWJTF3AYA,2021-05-04 23:13:20.443,0,True,Digital Music,POWER UP,4.8,28753,[],8.85,"these be no bad song on this album , although track # 2 be rather tedious with repetitious lyric .   phil rudd be as good , as always .   cliff do his usual bass line , which be good .   what i ’m get at be that this album sound like all their album from the last 35 year .   yet , there be no blockbuster hit .   and there be very few standout guitar solo by angus .   in fact , some song have no solo or catchy riff .   it ’ all rhythm guitars .   it ’ a good album .   but it ’ not even close to be another back in black .   i almost give it 3 star .",bad song album track tedious repetitious lyric phil rudd good cliff usual bass line good get album sound like album year blockbuster hit standout guitar solo angus fact song solo catchy riff rhythm guitars good album close black give star,2
3,Three Stars,Gift for someone else,[],B008OW1S02,B008KL4KB6,AGF45DFYZHVAAOYFQCBMEXQYKH2A,2015-01-03 23:57:09.000,0,True,Digital Music,The Perks of Being a Wallflower Original Soundtrack,4.6,37816,[],,gift for someone else,gift,4
5,Fabulous artist,Love Adele's songs.,[],B09HVRTMFX,B09HVRTMFX,AHVPRDS7HGLWENE5FQ5ILNCLA7XQ,2022-01-19 23:30:07.475,0,True,Digital Music,30,4.6,39104,[],7.27,love adele 's song .,love adele song,4
2,This CD does not measure up to her previous music.,If you have broken up with someone and wish to wallow in your pity then this is the CD for you. There are only two tracks that are really worth listening too and measure up to her previous CDs. Don't waste your money.,[],B09HVRTMFX,B09HVRTMFX,AHAOCBTMTDKUYNDFHAYJRGA4XENQ,2021-12-20 23:45:08.311,0,True,Digital Music,30,4.6,39104,[],7.27,if you have break up with someone and wish to wallow in your pity then this be the cd for you . there be only two track that be really worth listen too and measure up to her previous cd . do not waste your money .,break wish wallow pity cd track worth listen measure previous cd waste money,0
5,they still rock,very happy with my purchase - it's got that classic ac/dc vibe to it,[],B08KGT79CH,B08KGT79CH,AFEU72LBPQ6KPZM6WG23YI5DURKA,2021-08-31 03:37:55.168,0,True,Digital Music,POWER UP,4.8,28753,[],8.85,very happy with my purchase - it be get that classic ac / dc vibe to it,happy purchase get classic ac dc vibe,4
5,Adele great as always,Beautiful voice and emotional lyrics,[],B09HVRTMFX,B09HVRTMFX,AE4DB6FZYZ6FHZS2W2VWWRRC4D3A,2021-12-30 22:33:01.905,0,True,Digital Music,30,4.6,39104,[],7.27,beautiful voice and emotional lyric,beautiful voice emotional lyric,4
1,Love adele,The CD skips. Pretty upset,[],B09HVRTMFX,B09HVRTMFX,AFFOYQQSE7L3YNNR6LNJHLZKUYZA,2022-02-10 21:02:53.452,0,True,Digital Music,30,4.6,39104,[],7.27,the cd skip . pretty upset,cd skip pretty upset,1
5,Wonderful music,Great to hear this band still making music.  Wonderful.,[],B08KGT79CH,B08KGT79CH,AHS7SVRZESXQHLP3WW5WPYBCEK7A,2020-12-19 01:06:28.100,0,True,Digital Music,POWER UP,4.8,28753,[],8.85,great to hear this band still make music .   wonderful .,great hear band make music wonderful,4
5,Beautiful songs from the heart.,"I've been a fan forever and ordered this album while watching her concert on tv. I was mesmerized by her vocals, so clear and rich. The album does not disappoint.",[],B09HVRTMFX,B09HVRTMFX,AGEJDB4G52EAQHBT6THGLLTT7LUQ,2021-12-17 03:22:30.179,1,True,Digital Music,30,4.6,39104,[],7.27,"i have be a fan forever and order this album while watch her concert on tv . i be mesmerize by her vocal , so clear and rich . the album do not disappoint .",fan forever order album watch concert tv mesmerize vocal clear rich album disappoint,4
3,Not So Meaningful as 21,Average melodies of distracted song writing.,[],B09HVRTMFX,B09HVRTMFX,AEJXZADG7MLGC4IFUAFMD5JQADBQ,2022-09-04 03:28:40.936,1,True,Digital Music,30,4.6,39104,[],7.27,average melody of distracted song writing .,average melody distracted song writing,2
5,Great noise,What’s not to love?,[],B09HVRTMFX,B09HVRTMFX,AHOQ3BK3XKIOU6YXWTNI4CUFJANQ,2022-02-12 20:47:35.952,0,True,Digital Music,30,4.6,39104,[],7.27,what ’ not to love ?,love,4
5,great,"loved it, great album",[],B08KGT79CH,B08KGT79CH,AF4GEEZMTLHHG72DT64SVUPXLGMQ,2021-04-21 22:18:19.694,0,True,Digital Music,POWER UP,4.8,28753,[],8.85,"love it , great album",love great album,4
5,Outstanding Soun,"Absolutely amazing sound! It's not that they ""still got it""; it's  that they created an amazing work of musical art!<br /><br />Hard to describe, but they were able to blend blues with pure rock on this album creating a true masterpiece!<br /><br />Had this been an album released by an unknown start up band, it would have been a stand-alone masterpiece.  The fact that it is a great album with an amazing sound recorded by the legendary AC/DC makes it even more spectacular!",[],B08KGT79CH,B08KGT79CH,AE4IYZZ6FELBMAQ72ZPSN4JBL24A,2021-03-02 01:14:15.408,1,True,Digital Music,POWER UP,4.8,28753,[],8.85,"absolutely amazing sound ! it be not that they "" still get it "" ; it be   that they create an amazing work of musical art!<br /><br />hard to describe , but they be able to blend blue with pure rock on this album create a true masterpiece!<br /><br />had this be an album release by an unknown start up band , it would have be a stand - alone masterpiece .   the fact that it be a great album with an amazing sound record by the legendary ac / dc make it even more spectacular !",absolutely amazing sound get create amazing work musical describe able blend blue pure rock album create true album release unknown start band stand masterpiece fact great album amazing sound record legendary ac dc make spectacular,4
1,Not good,It was a let down from the 2 previous CDs.,[],B09HVRTMFX,B09HVRTMFX,AGJU7GWLCR3R3NCHYNCWGOEZYGNQ,2021-11-29 19:43:31.149,3,True,Digital Music,30,4.6,39104,[],7.27,it be a let down from the 2 previous cd .,let previous cd,4
5,Always ships fast,The music is epic,[],B09HVRTMFX,B09HVRTMFX,AHXNBKIVBV4U66NU2FDH7ZFIY2YQ,2021-12-30 03:49:05.362,0,True,Digital Music,30,4.6,39104,[],7.27,the music be epic,music epic,4
2,"WTF, Adele?","Sorry for the low marks here, Adele.  Surely LOVE LOVE LOVE! your previous albums but this one seems below your normal standards.  I get the albums (4 sides) are describing some bad ""stuff"" in your life but can your voice not reflect that in this album? Where's the passion? 4 sides of nearly monotonistic expressions really did take the pleasure out of the listening experience.  Maybe that's the intent here...?<br /><br />High marks on the white collector cut vinyl though.  Makes them LOOK good even though the SOUND flops!",[],B09HVTKLPQ,B09HVRTMFX,AFVYFLG3LJI3KYGHWYEFXKGXAFYQ,2021-12-10 17:31:47.167,0,True,Digital Music,30,4.6,39104,[],7.27,"sorry for the low mark here , adele .   surely love love love ! your previous album but this one seem below your normal standard .   i get the album ( 4 side ) be describe some bad "" stuff "" in your life but can your voice not reflect that in this album ? where be the passion ? 4 side of nearly monotonistic expression really do take the pleasure out of the listening experience .   maybe that be the intent here ... ?<br /><br />high mark on the white collector cut vinyl though .   make they look good even though the sound flop !",sorry low mark adele surely love love love previous album normal standard album side describe bad stuff life voice reflect album passion side nearly monotonistic expression pleasure listening experience maybe intent mark white collector cut vinyl make look good sound flop,2
